,Uncontrolled,Discrimintation Free,"First Come, First Served",With Battery,Cost optimized,Uncontrolled_Trafolast,Discrimintation Free_Trafolast,"First Come, First Served_Trafolast",With Battery_Trafolast,Cost optimized_Trafolast,Preload,Energy_price_(Euro/MWh),CO2e(kg/kWh)
57,0.0,0.0,0.0,0.0,0.0,81.2421,81.2421,81.2421,82.26488598603054,81.2421,81.2421,161.66459999999998,0.73
58,0.0,0.0,0.0,0.0,0.0,81.1384,81.1384,81.1384,82.11856980100067,81.1384,81.1384,161.2146,0.73
59,0.0,0.0,0.0,0.0,0.0,81.0347,81.0347,81.0347,81.97402929460866,81.0347,81.0347,160.76459999999997,0.73
60,0.0,0.0,0.0,0.0,0.0,80.931,80.931,80.931,81.83119048006704,80.931,80.931,160.31459999999998,0.73
61,0.0,0.0,0.0,0.0,0.0,80.96679999999999,80.96679999999999,80.96679999999999,81.82948245337852,80.96679999999999,80.96679999999999,160.1979333333333,0.73
62,0.0,0.0,0.0,0.0,0.0,81.0026,81.0026,81.0026,81.82933726488618,81.0026,81.0026,160.08126666666666,0.73
63,0.0,0.0,0.0,0.0,0.0,81.0384,81.0384,81.0384,81.83068979617552,81.0384,81.0384,159.9646,0.73
64,0.0,0.0,0.0,0.0,0.0,81.0742,81.0742,81.0742,81.8334776421059,81.0742,81.0742,159.84793333333332,0.73
65,0.0,0.0,0.0,0.0,0.0,81.11,81.11,81.11,81.83764099775705,81.11,81.11,159.73126666666664,0.73
66,0.0,0.0,0.0,0.0,0.0,81.1458,81.1458,81.1458,81.8431225500864,81.1458,81.1458,159.6146,0.73
67,0.0,0.0,0.0,0.0,0.0,81.1816,81.1816,81.1816,81.84986737410055,81.1816,81.1816,159.49793333333332,0.73
68,0.0,0.0,0.0,0.0,0.0,81.2174,81.2174,81.2174,81.85782283335296,81.2174,81.2174,159.38126666666665,0.73
69,0.0,0.0,0.0,0.0,0.0,81.2532,81.2532,81.2532,81.86693848458765,81.2532,81.2532,159.26459999999997,0.73
70,0.0,0.0,0.0,0.0,0.0,81.289,81.289,81.289,81.87716598635598,81.289,81.289,159.14793333333333,0.73
71,0.0,0.0,0.0,0.0,0.0,81.3703,81.3703,81.3703,81.9339590114412,81.3703,81.3703,159.03126666666665,0.73
72,0.0,0.0,0.0,0.0,0.0,81.4516,81.4516,81.4516,81.99177316293192,81.4516,81.4516,158.91459999999998,0.73
73,0.0,0.0,0.0,0.0,0.0,81.5329,81.5329,81.5329,82.05056589379245,81.5329,81.5329,158.7979333333333,0.73
74,0.0,0.0,0.0,0.0,0.0,81.6142,81.6142,81.6142,82.1102964297845,81.6142,81.6142,158.68126666666666,0.73
75,0.0,0.0,0.0,0.0,0.0,81.69550000000001,81.69550000000001,81.69550000000001,82.17092569560052,81.69550000000001,81.69550000000001,158.56459999999998,0.73
76,0.0,0.0,0.0,0.0,0.0,81.77680000000001,81.77680000000001,81.77680000000001,82.23241624407459,81.77680000000001,81.77680000000001,158.4479333333333,0.73
77,0.0,0.0,0.0,0.0,0.0,81.85810000000001,81.85810000000001,81.85810000000001,82.29473218834319,81.85810000000001,81.85810000000001,158.33126666666666,0.73
78,0.0,0.0,0.0,0.0,0.0,81.9394,81.9394,81.9394,82.35783913683234,81.9394,81.9394,158.2146,0.73
79,0.0,0.0,0.0,0.0,0.0,82.0207,82.0207,82.0207,82.42170413095374,82.0207,82.0207,158.09793333333332,0.73
