,total Load,price
376,0.0,-74.66666666666667
377,0.0,-74.58333333333333
378,0.0,-74.5
379,0.0,-74.41666666666667
380,0.0,-74.33333333333333
381,0.0,-74.25
382,0.0,-74.16666666666667
383,0.0,-74.08333333333333
384,0.0,-74.0
385,0.0,-73.91666666666667
386,0.0,-73.83333333333333
387,0.0,-73.75
388,0.0,-73.66666666666667
389,0.0,-73.58333333333333
390,0.0,-73.5
391,0.0,-73.41666666666667
392,0.0,-73.33333333333333
393,0.0,-73.25
394,0.0,-73.16666666666667
395,0.0,-73.08333333333333
396,0.0,-73.0
397,0.0,-72.91666666666667
398,0.0,-72.83333333333333
399,0.0,-72.75
400,0.0,-72.66666666666667
401,0.0,-72.58333333333333
402,0.0,-72.5
403,0.0,-72.41666666666667
404,0.0,-72.33333333333333
405,0.0,-72.25
406,0.0,-72.16666666666667
407,0.0,-72.08333333333333
408,0.0,-72.0
409,0.0,-71.91666666666667
410,0.0,-71.83333333333333
411,0.0,-71.75
412,0.0,-71.66666666666667
413,0.0,-71.58333333333333
414,0.0,-71.5
415,0.0,-71.41666666666667
416,0.0,-71.33333333333333
417,0.0,-71.25
418,0.0,-71.16666666666667
419,0.0,-71.08333333333333
420,0.0,-71.0
421,0.0,-70.91666666666667
422,0.0,-70.83333333333333
423,0.0,-70.75
424,0.0,-70.66666666666667
425,0.0,-70.58333333333333
426,0.0,-70.5
427,0.0,-70.41666666666667
428,0.0,-70.33333333333333
429,0.0,-70.25
430,0.0,-70.16666666666667
431,0.0,-70.08333333333333
432,0.0,-70.0
433,0.0,-69.91666666666667
434,0.0,-69.83333333333333
435,0.0,-69.75
436,0.0,-69.66666666666667
437,0.0,-69.58333333333333
438,0.0,-69.5
439,0.0,-69.41666666666667
440,0.0,-69.33333333333333
441,0.0,-69.25
442,0.0,-69.16666666666667
443,0.0,-69.08333333333333
444,0.0,-69.0
445,0.0,-68.91666666666667
446,0.0,-68.83333333333333
447,0.0,-68.75
448,0.0,-68.66666666666667
449,0.0,-68.58333333333333
450,0.0,-68.5
451,0.0,-68.41666666666667
452,0.0,-68.33333333333333
453,0.0,-68.25
454,0.0,-68.16666666666667
455,0.0,-68.08333333333333
456,0.0,-68.0
457,0.0,-67.91666666666667
458,0.0,-67.83333333333333
459,0.0,-67.75
460,0.0,-67.66666666666667
461,0.0,-67.58333333333333
462,0.0,-67.5
463,0.0,-67.41666666666667
464,0.0,-67.33333333333333
465,0.0,-67.25
466,0.0,-67.16666666666667
467,0.0,-67.08333333333333
468,0.0,-67.0
469,0.0,-66.91666666666667
470,0.0,-66.83333333333333
471,0.0,-66.75
472,0.0,-66.66666666666667
473,0.0,-66.58333333333333
474,0.0,-66.5
475,0.0,-66.41666666666667
476,0.0,-66.33333333333333
477,0.0,-66.25
478,0.0,-66.16666666666667
479,0.0,-66.08333333333333
480,0.0,-66.0
481,0.0,-65.93333333333334
482,0.0,-65.86666666666666
483,0.0,-65.8
484,0.0,-65.73333333333333
485,0.0,-65.66666666666667
486,0.0,-65.6
487,0.001,-65.53333333333333
488,0.001,-65.46666666666667
489,0.001,-65.4
490,0.001,-65.33333333333333
491,0.001,-65.26666666666667
492,0.001,-65.2
493,0.001,-65.13333333333334
494,0.001,-65.06666666666666
495,0.001,-65.0
496,0.001,-64.93333333333334
497,0.001,-64.86666666666666
498,0.001,-64.8
499,0.001,-64.73333333333333
500,0.001,-64.66666666666667
501,0.001,-64.6
502,0.001,-64.53333333333333
503,0.001,-64.46666666666667
504,0.001,-64.4
505,0.001,-64.33333333333333
506,0.001,-64.26666666666667
507,0.001,-64.2
508,0.001,-64.13333333333334
509,0.001,-64.06666666666666
510,0.001,-64.0
511,0.001,-63.93333333333334
512,0.001,-63.86666666666667
513,0.001,-63.8
514,0.001,-63.733333333333334
515,0.001,-63.666666666666664
516,0.001,-63.6
517,0.001,-63.53333333333333
518,0.001,-63.46666666666667
519,0.001,-63.4
520,0.001,-63.333333333333336
521,0.001,-63.266666666666666
522,0.001,-63.2
523,0.001,-63.13333333333333
524,0.001,-63.06666666666667
525,0.001,-63.0
526,0.001,-62.93333333333334
527,0.001,-62.86666666666667
528,0.001,-62.8
529,0.001,-62.733333333333334
530,0.001,-62.666666666666664
531,0.001,-62.6
532,0.001,-62.53333333333333
533,0.001,-62.46666666666667
534,0.001,-62.4
535,0.001,-62.333333333333336
536,0.001,-62.266666666666666
537,0.002,-62.2
538,0.002,-62.13333333333333
539,0.002,-62.06666666666667
540,0.002,-62.0
541,3.701,-61.9
542,3.701,-61.8
543,0.002,-61.7
544,0.002,-61.6
545,0.002,-61.5
546,0.002,-61.4
547,0.002,-61.3
548,0.001,-61.2
549,0.001,-61.1
550,0.001,-61.0
551,0.001,-60.9
552,0.001,-60.8
553,0.001,-60.7
554,0.001,-60.6
555,0.001,-60.5
556,0.001,-60.4
557,0.001,-60.3
558,0.001,-60.2
559,0.001,-60.1
560,0.001,-60.0
561,0.001,-59.9
562,0.001,-59.8
563,0.001,-59.7
564,0.001,-59.6
565,0.001,-59.5
566,0.001,-59.4
567,0.001,-59.3
568,0.001,-59.2
569,0.001,-59.1
570,0.001,-59.0
571,0.001,-58.9
572,0.001,-58.8
573,0.001,-58.7
574,0.001,-58.6
575,0.001,-58.5
576,0.001,-58.4
577,0.001,-58.3
578,0.001,-58.2
579,0.001,-58.1
580,0.001,-58.0
581,0.001,-57.9
582,0.001,-57.8
583,0.001,-57.7
584,0.001,-57.6
585,0.001,-57.5
586,3.7,-57.4
587,3.7,-57.3
588,3.7,-57.2
589,3.7,-57.1
590,3.7,-57.0
591,3.7,-56.9
592,0.001,-56.8
593,0.001,-56.7
594,0.001,-56.6
595,0.001,-56.5
596,0.001,-56.4
597,0.001,-56.3
598,0.0,-56.2
599,0.0,-56.1
600,0.0,-56.0
601,0.0,-55.88333333333333
602,0.0,-55.766666666666666
603,0.0,-55.65
604,0.0,-55.53333333333333
605,0.0,-55.416666666666664
606,0.0,-55.3
607,3.7,-55.18333333333333
608,3.7,-55.06666666666667
609,0.001,-54.95
610,3.701,-54.833333333333336
611,0.002,-54.71666666666667
612,0.002,-54.6
613,0.002,-54.483333333333334
614,3.701,-54.36666666666667
615,3.701,-54.25
616,0.002,-54.13333333333333
617,0.002,-54.016666666666666
618,0.002,-53.9
619,0.002,-53.78333333333333
620,0.002,-53.666666666666664
621,0.002,-53.55
622,0.002,-53.43333333333333
623,0.002,-53.31666666666666
624,0.002,-53.2
625,0.002,-53.083333333333336
626,0.002,-52.96666666666667
627,0.002,-52.85
628,0.002,-52.733333333333334
629,0.002,-52.61666666666667
630,0.002,-52.5
631,0.002,-52.38333333333333
632,0.002,-52.266666666666666
633,0.002,-52.15
634,0.002,-52.03333333333333
635,0.002,-51.916666666666664
636,0.002,-51.8
637,0.002,-51.68333333333334
638,0.002,-51.56666666666666
639,0.002,-51.45
640,0.002,-51.333333333333336
641,0.002,-51.21666666666667
642,0.002,-51.1
643,0.002,-50.983333333333334
644,0.002,-50.86666666666667
645,0.002,-50.75
646,0.002,-50.63333333333333
647,0.002,-50.516666666666666
648,0.002,-50.4
649,0.002,-50.28333333333333
650,0.002,-50.166666666666664
651,0.002,-50.05
652,0.002,-49.93333333333334
653,0.002,-49.81666666666666
654,0.002,-49.7
655,0.002,-49.583333333333336
656,0.002,-49.46666666666667
657,0.002,-49.35
658,0.002,-49.233333333333334
659,3.701,-49.11666666666667
660,7.4,-49.0
661,7.4,-48.583333333333336
662,7.4,-48.166666666666664
663,7.4,-47.75
664,7.4,-47.333333333333336
665,0.002,-46.916666666666664
666,0.002,-46.5
667,0.002,-46.083333333333336
668,0.001,-45.666666666666664
669,0.001,-45.25
670,0.001,-44.833333333333336
671,0.0,-44.416666666666664
672,0.0,-44.0
673,0.0,-43.583333333333336
674,0.0,-43.166666666666664
675,0.0,-42.75
676,0.0,-42.333333333333336
677,0.0,-41.916666666666664
678,0.0,-41.5
679,0.0,-41.083333333333336
680,0.0,-40.666666666666664
681,0.0,-40.25
682,0.0,-39.83333333333333
683,0.0,-39.416666666666664
684,0.0,-39.0
685,0.0,-38.58333333333333
686,0.0,-38.166666666666664
687,0.0,-37.75
688,0.0,-37.33333333333333
689,0.0,-36.916666666666664
690,0.0,-36.5
691,0.0,-36.08333333333333
692,0.0,-35.666666666666664
693,0.0,-35.25
694,0.0,-34.83333333333333
695,0.0,-34.416666666666664
696,0.0,-34.0
697,0.0,-33.58333333333333
698,0.0,-33.166666666666664
699,0.0,-32.75
700,0.0,-32.33333333333333
701,0.0,-31.916666666666664
702,0.0,-31.5
703,3.7,-31.083333333333332
704,0.001,-30.666666666666664
705,0.001,-30.25
706,0.001,-29.833333333333332
707,0.001,-29.416666666666664
708,0.001,-29.0
709,0.001,-28.583333333333332
710,0.001,-28.166666666666664
711,0.001,-27.75
712,3.7,-27.333333333333332
713,3.7,-26.916666666666664
714,3.7,-26.5
715,3.7,-26.083333333333332
716,3.7,-25.666666666666664
717,3.7,-25.25
718,3.7,-24.833333333333332
719,3.7,-24.416666666666664
720,3.7,-24.0
721,0.001,-23.683333333333334
722,0.001,-23.366666666666667
723,0.001,-23.05
724,0.001,-22.733333333333334
725,0.001,-22.416666666666668
726,0.001,-22.1
727,0.001,-21.78333333333333
728,0.001,-21.46666666666667
729,0.001,-21.15
730,0.001,-20.833333333333332
