Time,LP_ST_799,LP_ST_843,LP_ST_453,LP_ST_912,LP_ST_692,LP_total_load_kW,trafo_Preload_kW,LP_occupancy,trafoLoading_kW
2018-01-03 06:23:00,0.0,0.0,0.0,0.0,0.0,0.0,29.310399999999998,0.0,29.310399999999998
2018-01-03 06:24:00,0.0,0.0,0.0,0.0,0.0,0.0,29.661199999999997,0.0,29.661199999999997
2018-01-03 06:25:00,0.0,0.0,0.0,0.0,0.0,0.0,30.012,0.0,30.012
2018-01-03 06:26:00,0.0,0.0,0.0,0.0,0.0,0.0,30.3628,0.0,30.3628
2018-01-03 06:27:00,0.0,0.0,0.0,0.0,0.0,0.0,30.7136,0.0,30.7136
2018-01-03 06:28:00,0.0,0.0,0.0,0.0,0.0,0.0,31.0644,0.0,31.0644
2018-01-03 06:29:00,0.0,0.0,0.0,0.0,0.0,0.0,31.4152,0.0,31.4152
2018-01-03 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,31.766,0.0,31.766
2018-01-03 06:31:00,0.0,0.0,0.0,0.0,0.0,0.0,31.7457,0.0,31.7457
2018-01-03 06:32:00,0.0,0.0,0.0,0.0,0.0,0.0,31.725399999999997,0.0,31.725399999999997
2018-01-03 06:33:00,0.0,0.0,0.0,0.0,0.0,0.0,31.705099999999998,0.0,31.705099999999998
2018-01-03 06:34:00,0.0,0.0,0.0,0.0,0.0,0.0,31.6848,0.0,31.6848
2018-01-03 06:35:00,0.0,0.0,0.0,0.0,0.0,0.0,31.664499999999997,0.0,31.664499999999997
2018-01-03 06:36:00,0.0,0.0,0.0,0.0,0.0,0.0,31.644199999999998,0.0,31.644199999999998
2018-01-03 06:37:00,0.0,0.0,0.0,0.0,0.0,0.0,31.6239,0.0,31.6239
2018-01-03 06:38:00,0.0,0.0,0.0,0.0,0.0,0.0,31.6036,0.0,31.6036
2018-01-03 06:39:00,0.0,0.0,0.0,0.0,0.0,0.0,31.583299999999998,0.0,31.583299999999998
2018-01-03 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,31.563,0.0,31.563
2018-01-03 06:41:00,0.0,0.0,0.0,0.0,0.0,0.0,31.5397,0.0,31.5397
